Best, FirstBest, Percetange, CompetitiveTabu, Aneling
313.24, 115.45, 110.58, 202.77, 169.03
276.08, 134.36, 103.98, 220.05, 161.80
385.62, 118.36, 122.29, 196.43, 166.86
367.65, 150.66, 101.93, 180.82, 165.12
137.49, 57.57, 35.18, 12.51, 1.88
187.89, 47.52, 26.34, 12.46, 4.2
131.75, 53.9, 35.87, 9.1, 2.92
108.96, 59.65, 36.24, 65.33, 45.15
107.63, 59.69, 46.92, 79.45, 35.22
75.18, 56.12, 39.72, 61.74, 48.41
405.86, 231.8, 345.07, 321.72, 519.99
275.26, 240.94, 278.12, 533.4, 522.61
1318.79, 188.06, 167.74, 29.67, 8.04
625.34, 244.53, 167.32, 29.84, 9.15
70.77, 43.79, 34.11, 68.56, 125.99
101.46, 43.59, 38.27, 64.67, 130.4
286.04, 219.02, 196.47, 162.65, 270.17
290.07, 372.57, 157.23, 193.96, 278.22
46.52, 41.42, 25.32, 81.78, 64.24
60.01, 50.5, 30.72, 69.79, 51.2
